time,receiverId,transmitterId,receiverPower,receiverDeviceModel,transmitterDeviceModel
100,29,5,-86.04828124446747,model013,model013
100,29,16,-87.64678561165078,model013,model013
100,29,30,-86.38928031427417,model013,model013
100,30,16,-71.68837090700863,model013,model013
100,30,29,-86.38928031427417,model013,model013
100,36,18,-80.0480756782475,model013,model013
100,37,26,-82.06387990630392,model013,model013
100,40,5,-84.5794507536689,model013,model013
105,5,29,-77.23924577357798,model013,model013
105,5,30,-86.05816385032334,model013,model013
105,9,6,-81.68797569499752,model013,model013
105,13,18,-87.06023054824415,model013,model013
105,18,13,-87.06023054824415,model013,model013
105,25,23,-86.19315688972877,model013,model013
105,30,11,-86.13457832784238,model013,model013
105,3,22,-63.689906008454244,model013,model013
105,6,9,-81.68797569499752,model013,model013
105,11,30,-86.13457832784238,model013,model013
105,16,30,-80.65304680301973,model013,model013
105,17,24,-79.81818235681469,model013,model013
105,18,36,-80.5614702531432,model013,model013
105,22,3,-63.689906008454244,model013,model013
105,23,25,-86.19315688972877,model013,model013
105,24,17,-79.81818235681469,model013,model013
105,29,5,-77.23924577357798,model013,model013
105,29,30,-86.0902314812865,model013,model013
105,30,5,-86.05816385032334,model013,model013
105,30,16,-80.65304680301973,model013,model013
105,30,29,-86.0902314812865,model013,model013
105,36,18,-80.5614702531432,model013,model013
110,4,22,-85.62098060857419,model013,model013
110,5,29,-84.87073456700652,model013,model013
110,5,30,-77.31472302977426,model013,model013
110,9,6,-81.69879545872377,model013,model013
110,13,18,-87.44757196173987,model013,model013
110,15,2,-87.33760352630081,model013,model013
110,17,31,-77.2193617484904,model013,model013
110,18,13,-87.44757196173987,model013,model013
110,22,4,-85.62098060857419,model013,model013
110,25,23,-82.74997205530754,model013,model013
110,1,12,-83.84898998696329,model013,model013
110,2,15,-87.33760352630081,model013,model013
110,3,22,-85.95507958654191,model013,model013
110,6,9,-81.69879545872377,model013,model013
110,12,1,-83.84898998696329,model013,model013
110,16,30,-85.11572368480175,model013,model013
110,17,24,-81.41585720310775,model013,model013
110,18,36,-84.82618735660583,model013,model013
110,22,3,-85.95507958654191,model013,model013
110,23,25,-82.74997205530754,model013,model013
110,24,17,-81.41585720310775,model013,model013
110,29,5,-84.87073456700652,model013,model013
110,29,30,-86.84241942347201,model013,model013
110,30,5,-77.31472302977426,model013,model013
110,30,16,-85.11572368480175,model013,model013
110,30,29,-86.84241942347201,model013,model013
110,31,17,-77.2193617484904,model013,model013
110,36,18,-84.82618735660583,model013,model013
115,1,18,-85.6425971406605,model013,model013
115,4,22,-62.93900310841616,model013,model013
115,5,30,-87.50719341783304,model013,model013
115,9,6,-81.94899777079351,model013,model013
115,17,31,-82.74248620178608,model013,model013
115,18,1,-85.6425971406605,model013,model013
115,19,21,-82.16883590981995,model013,model013
115,22,4,-62.93900310841616,model013,model013
115,25,23,-80.03319143794893,model013,model013
115,1,12,-74.80198351791522,model013,model013
115,6,9,-81.94899777079351,model013,model013
115,12,1,-74.80198351791522,model013,model013
115,17,24,-82.92292575397266,model013,model013
115,21,19,-82.16883590981995,model013,model013
115,23,25,-80.03319143794893,model013,model013
115,24,17,-82.92292575397266,model013,model013
115,30,5,-87.50719341783304,model013,model013
115,31,17,-82.74248620178608,model013,model013
115,37,46,-77.62265214624466,model013,model013
115,46,37,-77.62265214624466,model013,model013
120,1,18,-82.22656435892077,model013,model013
120,4,22,-85.85290422674454,model013,model013
120,9,6,-82.40072980387846,model013,model013
120,18,1,-82.22656435892077,model013,model013
120,19,21,-77.09580347443679,model013,model013
120,22,4,-85.85290422674454,model013,model013
120,25,23,-81.85891949532216,model013,model013
120,27,28,-81.06410415878318,model013,model013
120,28,27,-81.06410415878318,model013,model013
120,1,12,-74.01931120360253,model013,model013
120,6,9,-82.40072980387846,model013,model013
120,12,1,-74.01931120360253,model013,model013
120,17,24,-84.28651846795128,model013,model013
120,21,19,-77.09580347443679,model013,model013
120,23,25,-81.85891949532216,model013,model013
120,24,17,-84.28651846795128,model013,model013
120,27,30,-86.87714895395636,model013,model013
120,30,27,-86.87714895395636,model013,model013
120,37,46,-87.0513873101509,model013,model013
120,37,47,-86.48432843390333,model013,model013
120,39,44,-87.0049657577397,model013,model013
120,44,39,-87.0049657577397,model013,model013
120,46,37,-87.0513873101509,model013,model013
120,47,37,-86.48432843390333,model013,model013
125,1,18,-76.66975538412106,model013,model013
125,9,6,-82.99683376631891,model013,model013
125,11,13,-87.24768618073094,model013,model013
125,13,11,-87.24768618073094,model013,model013
125,17,40,-83.74475900002311,model013,model013
125,18,1,-76.66975538412106,model013,model013
125,25,23,-85.39493495162063,model013,model013
125,27,28,-80.1574087702357,model013,model013
